provider_id,specialty,n_concerns,concerns,estimated_exposure,statutory_recoverable,recovery_window_start,recovery_window_end,barred_by_statute,hia_circumstances,needs_medical_consult,recommended_next_step,potential_outcome,figure_status,fee_schedule,fee_schedule_authoritative,recovery_defensible
PRV0084,Neurology,1,Phantom / excessive claim volume,2379889.8,2379889.8,2023-01-01,2024-12-01,0.0,a; d,True,Full Audit Review — request records; engage medical consultant on necessity,Billing education; settlement if records do not support claims,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0008,Psychiatry,2,Phantom / excessive claim volume; Impossible day (>24h billed),1014523.49,1014523.49,2023-01-01,2024-12-01,0.0,a; d,True,Full Audit Review — issue Request for Records and Information letter,"Likely negotiated settlement or HSARB referral (documentary concern, material amount)",INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0216,Ophthalmology,1,Unit / dosage inflation,85252.51,85252.51,2023-01-01,2024-12-01,0.0,a; d,True,Full Audit Review — request records; engage medical consultant on necessity,Billing education; settlement if records do not support claims,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0280,Ophthalmology,1,Unit / dosage inflation,68361.47,68361.47,2023-01-01,2024-12-01,0.0,a; d,True,Full Audit Review — request records; engage medical consultant on necessity,Billing education; settlement if records do not support claims,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0279,Gastroenterology,3,Impossible day (>24h billed); Upcoding (E/M complexity inflation); Escalating upcoding over time,68244.35,68244.35,2023-01-01,2024-12-01,0.0,a; d; e,True,Full Audit Review — issue Request for Records and Information letter,"Likely negotiated settlement or HSARB referral (documentary concern, material amount)",INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0069,Radiology,1,Weekend / closed-office billing,63691.97,63691.97,2023-01-01,2024-12-01,0.0,a; c,False,Full Audit Review — issue Request for Records and Information letter,"Likely negotiated settlement or HSARB referral (documentary concern, material amount)",INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0264,Family Medicine,2,Impossible day (>24h billed); Upcoding (E/M complexity inflation),63690.02,63690.02,2023-01-01,2024-12-01,0.0,a; d; e,True,Full Audit Review — issue Request for Records and Information letter,"Likely negotiated settlement or HSARB referral (documentary concern, material amount)",INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0296,Family Medicine,1,Upcoding (E/M complexity inflation),43149.09,43149.09,2023-01-01,2024-12-01,0.0,d; e,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0256,Family Medicine,1,Upcoding (E/M complexity inflation),42339.13,42339.13,2023-01-01,2024-12-01,0.0,d; e,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0061,Radiology,1,Duplicate claim resubmission,38679.16,38679.16,2023-01-01,2024-12-01,0.0,a,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0158,Pulmonology,1,Weekend / closed-office billing,36829.79,36829.79,2023-01-01,2024-12-01,0.0,a; c,False,Full Audit Review — request records for the flagged dates,Billing education and/or negotiated settlement,INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0252,Family Medicine,1,Upcoding (E/M complexity inflation),35970.41,35970.41,2023-01-01,2024-12-01,0.0,d; e,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0145,Orthopedic Surgery,1,Self-referral out-of-specialty imaging,19532.91,19532.91,2023-01-01,2024-12-01,0.0,e; f,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
PRV0162,Orthopedic Surgery,1,Self-referral out-of-specialty imaging,19373.49,19373.49,2023-01-01,2024-12-01,0.0,e; f,True,"Initial Action — billing education letter, then monitor future claims",Education and close (no determination at this stage),INDICATIVE,synthetic_demo (demo-1) — NOT authoritative,False,False
